Time,ProdWnow,ConsWnow,ProdWhToday,ConsWhToday,ProdWh7day,ConsWh7day,ProdWhLife,ConsWhLife
Thu Mar 22 11:45:05 2018, 9014, 431, 13677, 41449, 338770, 345430, 1604556, 2622422
Thu Mar 22 12:00:10 2018, 9419, 4132, 15976, 41903, 338780, 345802, 1606855, 2622876
Thu Mar 22 12:15:05 2018, 9695, 220, 18365, 42821, 338795, 346366, 1609244, 2623794
Thu Mar 22 12:30:06 2018, 10015, 482, 20836, 42893, 338814, 345689, 1611715, 2623866
Thu Mar 22 12:45:05 2018, 10047, 375, 23348, 42972, 338815, 345711, 1614227, 2623945
Thu Mar 22 13:00:07 2018, 10030, 4428, 25859, 43715, 338818, 346393, 1616738, 2624688
Thu Mar 22 13:15:05 2018, 10021, 348, 28366, 44152, 338829, 346773, 1619245, 2625125
Thu Mar 22 13:30:06 2018, 10032, 226, 30872, 44224, 338828, 346728, 1621751, 2625197
Thu Mar 22 13:45:07 2018, 10010, 4433, 33375, 44480, 338835, 346898, 1624254, 2625453
Thu Mar 22 14:00:06 2018, 10026, 321, 35884, 45514, 338831, 347811, 1626763, 2626487
Thu Mar 22 14:15:05 2018, 10062, 322, 38394, 45645, 338833, 346900, 1629273, 2626618
Thu Mar 22 14:30:06 2018, 10037, 1801, 40907, 46058, 338841, 347244, 1631786, 2627031
Thu Mar 22 14:45:04 2018, 10032, 1795, 43398, 46524, 338897, 347623, 1634277, 2627497
Thu Mar 22 15:00:07 2018, 10026, 1869, 45903, 46985, 338982, 348012, 1636782, 2627958
Thu Mar 22 15:15:05 2018, 10007, 1722, 48411, 47441, 339041, 348423, 1639290, 2628414
Thu Mar 22 15:30:06 2018, 9838, 1785, 50896, 47882, 339144, 348816, 1641775, 2628855
Thu Mar 22 15:45:08 2018, 9519, 1658, 53320, 48311, 339241, 349176, 1644199, 2629284
Thu Mar 22 16:00:07 2018, 9079, 1790, 55642, 48736, 339313, 349541, 1646521, 2629709
Thu Mar 22 16:15:05 2018, 8752, 1831, 57877, 49172, 339404, 349922, 1648756, 2630145
Thu Mar 22 16:30:06 2018, 8346, 1661, 60037, 49629, 339516, 350287, 1650916, 2630602
Thu Mar 22 16:45:05 2018, 7871, 1781, 62065, 50072, 339639, 350662, 1652944, 2631045
Thu Mar 22 17:00:06 2018, 7482, 462, 63964, 50304, 339710, 350809, 1654843, 2631277
Thu Mar 22 17:15:05 2018, 6816, 586, 65739, 50416, 339903, 350834, 1656618, 2631389
Thu Mar 22 17:30:06 2018, 6224, 356, 67369, 50524, 340014, 350856, 1658248, 2631497
Thu Mar 22 17:45:05 2018, 5572, 532, 68846, 50638, 340525, 350890, 1659725, 2631611
Thu Mar 22 18:00:07 2018, 4878, 265, 70151, 50719, 340972, 350914, 1661030, 2631692
Thu Mar 22 18:15:06 2018, 4183, 168, 71283, 50799, 341331, 350934, 1662162, 2631772
Thu Mar 22 18:30:06 2018, 3428, 296, 72235, 50855, 341602, 350939, 1663114, 2631828
Thu Mar 22 18:45:05 2018, 2597, 263, 72986, 50912, 341781, 350903, 1663865, 2631885
Thu Mar 22 19:00:07 2018, 1922, 296, 73548, 50964, 341986, 350629, 1664427, 2631937
